TANGGAL,UNIT PEMBANGKIT,JAM NYALA,JENIS BAHAN BAKAR,"KAPASITAS STORAGE TANK
 (L)","PERSEDIAAN AWAL 
(L)",PEMAKAIAN (L),PENERIMAAN (L),PERSEDIAAN AKHIR (L),UMUR OPERASI,RENCANA PENERIMAAN (L)
24-05-2022,PLTD LONG PESO,24,B30,70000,28900,450,,28450,63.22222222,
24-05-2022,PLTD TANAH MERAH,24,B30,10000,6045,1219,,4826,10,
25-05-2022,PLTD KRAYAN,24,B30,12000,7200,1800,1600,7000,3.888888889,
25-05-2022,PLTD SEI MENGGARIS,24,B30,40000,3948,931,,3017,3.240601504,
25-05-2022,PLTD LONG LAYU,12,B30,10000,620,60,,560,9.333333333,
25-05-2022,PLTD PAUPAN,12,B30,8000,540,70,,470,6.714285714,
25-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
25-05-2022,PLTD LONG PESO,24,B30,70000,28450,440,,28010,63.65909091,
25-05-2022,PLTD TANAH MERAH,24,B30,10000,4826,1225,,3601,10,
26-05-2022,PLTD KRAYAN,24,B30,12000,7000,1200,,5800,4.833333333,
26-05-2022,PLTD SEI MENGGARIS,24,B30,40000,3017,970,9990,12037,12.40927835,
26-05-2022,PLTD LONG LAYU,12,B30,10000,560,120,,440,3.666666667,
26-05-2022,PLTD PAUPAN,12,B30,8000,470,80,,390,4.875,
26-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
26-05-2022,PLTD LONG PESO,24,B30,70000,28010,400,,27610,69.025,
26-05-2022,PLTD TANAH MERAH,24,B30,10000,3601,1100,18852,21353,10,
27-05-2022,PLTD KRAYAN,24,B30,12000,5800,1800,600,4600,2.555555556,
27-05-2022,PLTD SEI MENGGARIS,24,B30,40000,12037,990,,11047,11.15858586,
27-05-2022,PLTD LONG LAYU,12,B30,10000,440,120,,320,2.666666667,
27-05-2022,PLTD PAUPAN,12,B30,8000,390,80,,310,3.875,
27-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
27-05-2022,PLTD LONG PESO,24,B30,70000,27610,440,,27170,61.75,
27-05-2022,PLTD TANAH MERAH,24,B30,10000,21353,1220,,20133,10,
28-05-2022,PLTD KRAYAN,24,B30,12000,4600,1800,2400,5200,2.888888889,
28-05-2022,PLTD SEI MENGGARIS,24,B30,40000,11047,843,,10204,12.10438909,
28-05-2022,PLTD LONG LAYU,12,B30,10000,320,120,,200,1.666666667,
28-05-2022,PLTD PAUPAN,12,B30,8000,310,80,,230,2.875,
28-05-2022,PLTD SEKATAK BUJI,24,B30,30000,9431,0,,9431,,
28-05-2022,PLTD LONG PESO,24,B30,70000,27170,450,,26720,59.37777778,
28-05-2022,PLTD TANAH MERAH,24,B30,10000,20133,1182,,18951,10,
